Connected On,Company Employee Range,Location,Person_ID,Company_Anon,Industry_Anon,Function
13 May 2019,,"Baar, Zug, Switzerland",Person_202,Company_044,Industry_04,Management
02 May 2019,51 to 200,"Riga, Latvia",Person_203,Company_224,Industry_12,Management
02 May 2019,,Latvia,Person_204,Company_329,Industry_04,Other
15 Apr 2019,51 to 200,"New York, New York, United States",Person_205,Company_362,Industry_01,IT/Data/Digital
29 Mar 2019,10001+,"Moscow, Moscow City, Russia",Person_206,Company_344,Industry_10,Other
16 Mar 2019,,Kazakhstan,Person_207,Company_139,Industry_13,Management
18 Feb 2019,2 to 10,"Amsterdam, North Holland, Netherlands",Person_208,Company_292,Industry_12,Management
05 Feb 2019,,"Homer, Ohio, United States",Person_209,Company_180,Industry_08,Management
05 Feb 2019,,"Pillager, Minnesota, United States",Person_210,,Focus_Industry_2,Unknown
23 Jun 2024,10001+,"Phoenix, Arizona, United States",Person_211,Company_161,Industry_15,Procurement/Supply Chain
11 Jan 2019,201 to 500,"City of Johannesburg, Gauteng, South Africa",Person_212,Company_104,Focus_Industry_4,Management
24 Dec 2018,1001 to 5000,Kazakhstan,Person_213,Company_357,Focus_Industry_1,Management
20 Dec 2018,,"Moscow, Moscow City, Russia",Person_214,Company_135,Industry_01,Sales/Business Development
21 Jun 2024,,"West Vancouver, British Columbia, Canada",Person_215,Company_046,Focus_Industry_2,Management
18 Dec 2018,10001+,Austria,Person_216,Company_234,Focus_Industry_4,Sales/Business Development
10 Dec 2018,10001+,"Cincinnati, Ohio, United States",Person_217,Company_137,Industry_09,Management
30 Nov 2018,11 to 50,"London, England, United Kingdom",Person_218,Company_348,Industry_09,Sales/Business Development
09 Nov 2018,2 to 10,New York City Metropolitan Area,Person_219,Company_306,Industry_06,IT/Data/Digital
18 Jun 2024,,"Emalahleni, Mpumalanga, South Africa",Person_220,Company_270,Focus_Industry_2,Management
04 Nov 2018,10001+,"Shanghai, China",Person_221,Company_257,Industry_12,Other
30 Oct 2018,,"New York, New York, United States",Person_222,Company_384,Industry_12,Management
30 Oct 2018,2 to 10,"New York, New York, United States",Person_223,Company_217,Industry_16,Management
05 Oct 2018,51 to 200,"Almaty, Kazakhstan",Person_224,Company_192,Focus_Industry_1,Legal/Compliance
03 Oct 2018,10001+,"New York, New York, United States",Person_225,Company_186,Industry_02,Other
30 Sep 2018,51 to 200,Canada,Person_226,Company_295,Industry_07,Other
30 Sep 2018,,Russia,Person_227,Freelance,Industry_16,Freelance
30 Sep 2018,,"Santa Monica, California, United States",Person_228,Company_051,Industry_15,Management
28 Sep 2018,10001+,"Greater London, England, United Kingdom",Person_229,Company_097,Industry_13,Management
06 Sep 2018,501 to 1000,"Moscow, Moscow City, Russia",Person_230,Company_360,Industry_06,Freelance
15 Aug 2018,5001 to 10000,"San Antonio, Texas, United States",Person_231,Company_373,Industry_06,Other
31 Jul 2018,,Russia,Person_232,Company_138,Industry_16,Management
31 Jul 2018,51 to 200,Russia,Person_232,Company_138,Industry_16,Management
28 Jul 2013,,Russia,Person_232,Company_146,Industry_16,IT/Data/Digital
28 Jul 2013,51 to 200,Russia,Person_232,Company_146,Industry_16,IT/Data/Digital
16 Jul 2018,1001 to 5000,"Washington, District of Columbia, United States",Person_233,Company_249,Industry_01,Other
11 Jul 2018,,"Monterey, California, United States",Person_234,Company_371,Industry_07,Management
11 Jul 2018,10001+,Serbia,Person_235,Company_248,Focus_Industry_1,Management
26 Jun 2018,10001+,Kazakhstan,Person_236,Company_190,Focus_Industry_2,Communications
18 Jun 2018,51 to 200,Russia,Person_237,Company_364,Industry_06,Management
08 Jun 2018,10001+,"Moscow, Moscow City, Russia",Person_238,Company_337,Focus_Industry_2,Management
07 May 2018,myself only,"Dubai, United Arab Emirates",Person_239,Company_297,Industry_04,Consultant/Advisor/Coach
23 Apr 2018,,Russia,Person_240,,,Unknown
23 Apr 2018,10001+,Russia,Person_241,Company_381,Industry_04,Management
19 Apr 2018,10001+,Kazakhstan,Person_242,Company_230,Industry_05,Management
31 Mar 2018,2 to 10,Los Angeles Metropolitan Area,Person_243,Company_228,Industry_04,Management
25 Mar 2018,10001+,"Bertrange, Luxembourg, Luxembourg",Person_244,Company_334,Focus_Industry_4,Sales/Business Development
20 Mar 2018,,"Moscow, Moscow City, Russia",Person_245,Company_213,Industry_14,Other
14 Mar 2018,10001+,"Moscow, Moscow City, Russia",Person_246,Company_086,Industry_07,Consultant/Advisor/Coach
14 Mar 2018,11 to 50,Greater Boston,Person_247,Company_092,Industry_06,Management
09 Mar 2018,11 to 50,"Meilen, Zurich, Switzerland",Person_248,Company_324,Industry_04,Management
08 Mar 2018,51 to 200,Latvia,Person_249,Company_004,Industry_04,Management
25 Feb 2018,11 to 50,Basel Metropolitan Area,Person_250,Company_096,Industry_10,Management
25 Feb 2018,,"Dubai, United Arab Emirates",Person_251,Company_308,Industry_07,Management
18 Feb 2018,,"Moscow, Russia",Person_252,Company_430,Industry_05,Other
15 Feb 2018,10001+,"Espoo, Uusimaa, Finland",Person_253,Company_230,Industry_05,Management
06 Feb 2018,201 to 500,"Tel Aviv District, Israel",Person_254,Company_418,Industry_12,IT/Data/Digital
04 Feb 2018,501 to 1000,Israel,Person_255,Company_268,Industry_12,Engineering/Technical/Science
24 Jan 2018,,Kazakhstan,Person_256,Company_357,Focus_Industry_1,Management
18 Jan 2018,1001 to 5000,"Almaty, Kazakhstan",Person_257,Company_357,Focus_Industry_1,Management
18 Jan 2018,,"Tashkent, Uzbekistan",Person_258,Company_072,Industry_15,Management
13 Jan 2018,,"West Jerusalem, Jerusalem District, Israel",Person_259,Company_283,Industry_12,Management
13 Jan 2018,,"Sakākah, Al Jawf, Saudi Arabia",Person_260,Company_307,Industry_07,Management
11 Jan 2018,,"Catania, Sicily, Italy",Person_261,Company_038,Industry_07,IT/Data/Digital
01 Dec 2017,201 to 500,"Moscow, Moscow City, Russia",Person_262,Company_240,Industry_06,Management
29 Nov 2017,10001+,"Towson, Maryland, United States",Person_263,Company_188,Focus_Industry_3,Other
22 Nov 2017,,Kazakhstan,Person_264,Company_230,Industry_05,Other
20 Nov 2017,,Ukraine,Person_265,Freelance,Industry_05,Freelance
10 Nov 2017,,"Monaco, Monaco, Monaco",Person_266,Company_103,Industry_04,Management
07 Nov 2017,5001 to 10000,"West Jerusalem, Jerusalem District, Israel",Person_267,Company_243,Industry_06,Management
02 Nov 2017,51 to 200,"Moscow, Moscow City, Russia",Person_268,Company_146,Industry_16,Sales/Business Development
01 Nov 2017,1001 to 5000,United States,Person_269,Company_152,Industry_10,Consultant/Advisor/Coach
29 Oct 2017,,"London, England, United Kingdom",Person_270,Company_206,Industry_04,Management
23 Oct 2017,,"Moscow, Russia",Person_271,Freelance,Industry_06,Freelance
23 Oct 2017,1001 to 5000,Israel,Person_272,Company_315,Industry_12,Engineering/Technical/Science
17 Oct 2017,51 to 200,"Fair Lawn, New Jersey, United States",Person_273,Company_143,Industry_12,Management
16 Oct 2017,501 to 1000,"New London, Connecticut, United States",Person_274,Company_084,Industry_06,Marketing
